 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
623|3.88142,0.0478724,0.0478724,0.0283232 | 10.7505,0.501938,0.501938,0.0348637 | -0.0616819,0.00258849 | -2.59589,-0.170906
624|3.88134,0.0478716,0.0478716,0.0283216 | 10.7526,0.502052,0.502052,0.0348688 | -0.0617802,0.00259165 | -2.59515,-0.170841
625|3.88127,0.0478709,0.0478709,0.0283201 | 10.7548,0.502167,0.502167,0.034874 | -0.061878,0.00259479 | -2.59441,-0.170775
626|3.8812,0.0478702,0.0478702,0.0283185 | 10.7569,0.502281,0.502281,0.0348791 | -0.0619755,0.00259792 | -2.59366,-0.17071
627|3.88113,0.0478694,0.0478694,0.028317 | 10.759,0.502395,0.502395,0.0348842 | -0.0620725,0.00260104 | -2.59291,-0.170644
628|3.88105,0.0478687,0.0478687,0.0283154 | 10.7611,0.502509,0.502509,0.0348893 | -0.0621692,0.00260414 | -2.59216,-0.170579
629|3.88098,0.047868,0.047868,0.0283139 | 10.7632,0.502622,0.502622,0.0348944 | -0.0622654,0.00260723 | -2.5914,-0.170513
630|3.88091,0.0478672,0.0478672,0.0283124 | 10.7654,0.502736,0.502736,0.0348995 | -0.0623613,0.00261031 | -2.59064,-0.170447
631|3.88084,0.0478665,0.0478665,0.0283108 | 10.7675,0.502849,0.502849,0.0349046 | -0.0624568,0.00261338 | -2.58988,-0.170381
632|3.88077,0.0478657,0.0478657,0.0283093 | 10.7696,0.502963,0.502963,0.0349097 | -0.0625519,0.00261643 | -2.58911,-0.170314
633|3.8807,0.047865,0.047865,0.0283078 | 10.7717,0.503076,0.503076,0.0349147 | -0.0626465,0.00261946 | -2.58834,-0.170248
634|3.88062,0.0478642,0.0478642,0.0283062 | 10.7738,0.503189,0.503189,0.0349198 | -0.0627409,0.00262249 | -2.58757,-0.170181
635|3.88055,0.0478635,0.0478635,0.0283047 | 10.7759,0.503302,0.503302,0.0349249 | -0.0628348,0.00262549 | -2.5868,-0.170114
636|3.88048,0.0478627,0.0478627,0.0283032 | 10.778,0.503415,0.503415,0.0349299 | -0.0629283,0.00262849 | -2.58602,-0.170047
637|3.88041,0.047862,0.047862,0.0283017 | 10.7801,0.503528,0.503528,0.034935 | -0.0630214,0.00263148 | -2.58524,-0.16998
638|3.88034,0.0478612,0.0478612,0.0283001 | 10.7822,0.50364,0.50364,0.03494 | -0.0631142,0.00263445 | -2.58446,-0.169913
639|3.88027,0.0478605,0.0478605,0.0282986 | 10.7843,0.503753,0.503753,0.0349451 | -0.0632065,0.00263741 | -2.58367,-0.169845
640|3.8802,0.0478597,0.0478597,0.0282971 | 10.7864,0.503865,0.503865,0.0349501 | -0.0632985,0.00264035 | -2.58288,-0.169778
641|3.88013,0.047859,0.047859,0.0282956 | 10.7885,0.503978,0.503978,0.0349552 | -0.0633901,0.00264328 | -2.58209,-0.16971
642|3.88006,0.0478582,0.0478582,0.0282941 | 10.7906,0.50409,0.50409,0.0349602 | -0.0634812,0.00264621 | -2.5813,-0.169642
643|3.87999,0.0478574,0.0478574,0.0282926 | 10.7927,0.504202,0.504202,0.0349652 | -0.063572,0.00264911 | -2.5805,-0.169574
644|3.87992,0.0478567,0.0478567,0.028291 | 10.7948,0.504314,0.504314,0.0349702 | -0.0636625,0.002652 | -2.5797,-0.169506
645|3.87985,0.0478559,0.0478559,0.0282895 | 10.7968,0.504425,0.504425,0.0349752 | -0.0637525,0.00265489 | -2.5789,-0.169437
646|3.87979,0.0478552,0.0478552,0.028288 | 10.7989,0.504537,0.504537,0.0349803 | -0.0638421,0.00265775 | -2.57809,-0.169369
647|3.87972,0.0478544,0.0478544,0.0282865 | 10.801,0.504649,0.504649,0.0349853 | -0.0639314,0.00266061 | -2.57728,-0.1693
648|3.87965,0.0478536,0.0478536,0.028285 | 10.8031,0.50476,0.50476,0.0349902 | -0.0640202,0.00266345 | -2.57647,-0.169231
649|3.87958,0.0478529,0.0478529,0.0282835 | 10.8052,0.504871,0.504871,0.0349952 | -0.0641087,0.00266628 | -2.57566,-0.169163
650|3.87951,0.0478521,0.0478521,0.028282 | 10.8072,0.504983,0.504983,0.0350002 | -0.0641968,0.0026691 | -2.57484,-0.169093
651|3.87944,0.0478513,0.0478513,0.0282805 | 10.8093,0.505094,0.505094,0.0350052 | -0.0642845,0.0026719 | -2.57402,-0.169024
652|3.87937,0.0478505,0.0478505,0.028279 | 10.8114,0.505205,0.505205,0.0350102 | -0.0643719,0.0026747 | -2.5732,-0.168955
653|3.87931,0.0478498,0.0478498,0.0282775 | 10.8134,0.505315,0.505315,0.0350151 | -0.0644588,0.00267747 | -2.57237,-0.168885
654|3.87924,0.047849,0.047849,0.028276 | 10.8155,0.505426,0.505426,0.0350201 | -0.0645454,0.00268024 | -2.57154,-0.168815
655|3.87917,0.0478482,0.0478482,0.0282745 | 10.8176,0.505537,0.505537,0.035025 | -0.0646315,0.00268299 | -2.57071,-0.168746
656|3.8791,0.0478475,0.0478475,0.028273 | 10.8196,0.505647,0.505647,0.03503 | -0.0647173,0.00268573 | -2.56988,-0.168676
657|3.87904,0.0478467,0.0478467,0.0282715 | 10.8217,0.505757,0.505757,0.0350349 | -0.0648028,0.00268846 | -2.56904,-0.168605
658|3.87897,0.0478459,0.0478459,0.0282701 | 10.8237,0.505868,0.505868,0.0350399 | -0.0648878,0.00269118 | -2.5682,-0.168535
659|3.8789,0.0478451,0.0478451,0.0282686 | 10.8258,0.505978,0.505978,0.0350448 | -0.0649725,0.00269387 | -2.56736,-0.168465
660|3.87884,0.0478443,0.0478443,0.0282671 | 10.8279,0.506087,0.506087,0.0350497 | -0.0650567,0.00269656 | -2.56651,-0.168394
661|3.87877,0.0478436,0.0478436,0.0282656 | 10.8299,0.506197,0.506197,0.0350547 | -0.0651406,0.00269924 | -2.56566,-0.168323
662|3.8787,0.0478428,0.0478428,0.0282641 | 10.8319,0.506307,0.506307,0.0350596 | -0.0652242,0.0027019 | -2.56481,-0.168253
663|3.87864,0.047842,0.047842,0.0282626 | 10.834,0.506417,0.506417,0.0350645 | -0.0653073,0.00270455 | -2.56396,-0.168182
664|3.87857,0.0478412,0.0478412,0.0282612 | 10.836,0.506526,0.506526,0.0350694 | -0.0653901,0.00270718 | -2.5631,-0.16811
665|3.87851,0.0478404,0.0478404,0.0282597 | 10.8381,0.506635,0.506635,0.0350743 | -0.0654725,0.00270981 | -2.56224,-0.168039
666|3.87844,0.0478396,0.0478396,0.0282582 | 10.8401,0.506744,0.506744,0.0350792 | -0.0655545,0.00271242 | -2.56138,-0.167968
667|3.87837,0.0478388,0.0478388,0.0282568 | 10.8422,0.506854,0.506854,0.0350841 | -0.0656362,0.00271501 | -2.56052,-0.167896
668|3.87831,0.047838,0.047838,0.0282553 | 10.8442,0.506962,0.506962,0.0350889 | -0.0657174,0.0027176 | -2.55965,-0.167824
669|3.87824,0.0478372,0.0478372,0.0282538 | 10.8462,0.507071,0.507071,0.0350938 | -0.0657983,0.00272017 | -2.55878,-0.167753
670|3.87818,0.0478364,0.0478364,0.0282523 | 10.8482,0.50718,0.50718,0.0350987 | -0.0658789,0.00272273 | -2.55791,-0.167681
671|3.87811,0.0478356,0.0478356,0.0282509 | 10.8503,0.507289,0.507289,0.0351036 | -0.065959,0.00272528 | -2.55703,-0.167608
672|3.87805,0.0478348,0.0478348,0.0282494 | 10.8523,0.507397,0.507397,0.0351084 | -0.0660388,0.00272782 | -2.55615,-0.167536
673|3.87798,0.047834,0.047834,0.028248 | 10.8543,0.507505,0.507505,0.0351133 | -0.0661182,0.00273033 | -2.55527,-0.167464
674|3.87792,0.0478332,0.0478332,0.0282465 | 10.8563,0.507613,0.507613,0.0351181 | -0.0661973,0.00273284 | -2.55439,-0.167391
675|3.87785,0.0478325,0.0478325,0.028245 | 10.8584,0.507722,0.507722,0.035123 | -0.0662759,0.00273534 | -2.5535,-0.167318
676|3.87779,0.0478316,0.0478316,0.0282436 | 10.8604,0.507829,0.507829,0.0351278 | -0.0663542,0.00273783 | -2.55261,-0.167246
677|3.87773,0.0478309,0.0478309,0.0282421 | 10.8624,0.507937,0.507937,0.0351326 | -0.0664322,0.0027403 | -2.55172,-0.167173
678|3.87766,0.04783,0.04783,0.0282407 | 10.8644,0.508045,0.508045,0.0351374 | -0.0665097,0.00274276 | -2.55083,-0.167099
679|3.8776,0.0478292,0.0478292,0.0282392 | 10.8664,0.508153,0.508153,0.0351423 | -0.0665869,0.00274521 | -2.54993,-0.167026
680|3.87754,0.0478284,0.0478284,0.0282378 | 10.8684,0.50826,0.50826,0.0351471 | -0.0666638,0.00274764 | -2.54903,-0.166953
681|3.87747,0.0478276,0.0478276,0.0282363 | 10.8704,0.508367,0.508367,0.0351519 | -0.0667402,0.00275006 | -2.54813,-0.166879
682|3.87741,0.0478268,0.0478268,0.0282349 | 10.8724,0.508474,0.508474,0.0351567 | -0.0668163,0.00275247 | -2.54723,-0.166806
683|3.87735,0.047826,0.047826,0.0282334 | 10.8744,0.508581,0.508581,0.0351615 | -0.066892,0.00275487 | -2.54632,-0.166732
684|3.87728,0.0478252,0.0478252,0.028232 | 10.8764,0.508688,0.508688,0.0351663 | -0.0669674,0.00275726 | -2.54541,-0.166658
685|3.87722,0.0478244,0.0478244,0.0282306 | 10.8784,0.508795,0.508795,0.035171 | -0.0670424,0.00275963 | -2.5445,-0.166584
686|3.87716,0.0478236,0.0478236,0.0282291 | 10.8804,0.508902,0.508902,0.0351758 | -0.067117,0.00276199 | -2.54358,-0.16651
687|3.87709,0.0478228,0.0478228,0.0282277 | 10.8824,0.509008,0.509008,0.0351806 | -0.0671913,0.00276433 | -2.54266,-0.166435
688|3.87703,0.047822,0.047822,0.0282263 | 10.8844,0.509115,0.509115,0.0351854 | -0.0672652,0.00276667 | -2.54174,-0.166361
689|3.87697,0.0478211,0.0478211,0.0282248 | 10.8864,0.509221,0.509221,0.0351901 | -0.0673387,0.00276899 | -2.54082,-0.166286
690|3.87691,0.0478203,0.0478203,0.0282234 | 10.8884,0.509327,0.509327,0.0351949 | -0.0674119,0.0027713 | -2.5399,-0.166212
691|3.87685,0.0478195,0.0478195,0.028222 | 10.8904,0.509433,0.509433,0.0351996 | -0.0674847,0.0027736 | -2.53897,-0.166137
692|3.87678,0.0478187,0.0478187,0.0282205 | 10.8923,0.509539,0.509539,0.0352044 | -0.0675572,0.00277589 | -2.53804,-0.166062
693|3.87672,0.0478179,0.0478179,0.0282191 | 10.8943,0.509645,0.509645,0.0352091 | -0.0676293,0.00277816 | -2.5371,-0.165987
694|3.87666,0.047817,0.047817,0.0282177 | 10.8963,0.509751,0.509751,0.0352138 | -0.067701,0.00278042 | -2.53617,-0.165911
695|3.8766,0.0478162,0.0478162,0.0282163 | 10.8983,0.509856,0.509856,0.0352186 | -0.0677724,0.00278267 | -2.53523,-0.165836
696|3.87654,0.0478154,0.0478154,0.0282148 | 10.9002,0.509961,0.509961,0.0352233 | -0.0678434,0.00278491 | -2.53429,-0.16576
697|3.87648,0.0478146,0.0478146,0.0282134 | 10.9022,0.510067,0.510067,0.035228 | -0.0679141,0.00278714 | -2.53335,-0.165685
698|3.87642,0.0478138,0.0478138,0.028212 | 10.9042,0.510172,0.510172,0.0352327 | -0.0679844,0.00278935 | -2.5324,-0.165609
699|3.87636,0.0478129,0.0478129,0.0282106 | 10.9061,0.510277,0.510277,0.0352374 | -0.0680543,0.00279155 | -2.53145,-0.165533
700|3.8763,0.0478121,0.0478121,0.0282092 | 10.9081,0.510382,0.510382,0.0352421 | -0.0681239,0.00279373 | -2.5305,-0.165457
701|3.87624,0.0478113,0.0478113,0.0282078 | 10.9101,0.510486,0.510486,0.0352468 | -0.0681932,0.00279591 | -2.52955,-0.165381
702|3.87618,0.0478105,0.0478105,0.0282064 | 10.912,0.510591,0.510591,0.0352515 | -0.0682621,0.00279807 | -2.52859,-0.165305
703|3.87612,0.0478096,0.0478096,0.028205 | 10.914,0.510695,0.510695,0.0352561 | -0.0683306,0.00280023 | -2.52763,-0.165228
704|3.87606,0.0478088,0.0478088,0.0282036 | 10.9159,0.5108,0.5108,0.0352608 | -0.0683988,0.00280237 | -2.52667,-0.165152
705|3.876,0.047808,0.047808,0.0282022 | 10.9179,0.510904,0.510904,0.0352655 | -0.0684666,0.0028045 | -2.52571,-0.165075
706|3.87594,0.0478072,0.0478072,0.0282007 | 10.9198,0.511008,0.511008,0.0352701 | -0.068534,0.00280661 | -2.52474,-0.164998
707|3.87588,0.0478063,0.0478063,0.0281993 | 10.9218,0.511112,0.511112,0.0352748 | -0.0686012,0.00280871 | -2.52378,-0.164921
708|3.87582,0.0478055,0.0478055,0.028198 | 10.9237,0.511216,0.511216,0.0352794 | -0.0686679,0.0028108 | -2.52281,-0.164844
709|3.87576,0.0478047,0.0478047,0.0281966 | 10.9257,0.51132,0.51132,0.0352841 | -0.0687343,0.00281288 | -2.52183,-0.164767
710|3.8757,0.0478038,0.0478038,0.0281952 | 10.9276,0.511423,0.511423,0.0352887 | -0.0688004,0.00281495 | -2.52086,-0.16469
711|3.87564,0.047803,0.047803,0.0281938 | 10.9295,0.511527,0.511527,0.0352934 | -0.0688661,0.002817 | -2.51988,-0.164612
712|3.87558,0.0478022,0.0478022,0.0281924 | 10.9315,0.51163,0.51163,0.035298 | -0.0689315,0.00281905 | -2.5189,-0.164535
713|3.87552,0.0478013,0.0478013,0.028191 | 10.9334,0.511733,0.511733,0.0353026 | -0.0689965,0.00282108 | -2.51792,-0.164457
714|3.87547,0.0478005,0.0478005,0.0281896 | 10.9353,0.511836,0.511836,0.0353072 | -0.0690612,0.0028231 | -2.51693,-0.164379
715|3.87541,0.0477997,0.0477997,0.0281882 | 10.9372,0.511939,0.511939,0.0353118 | -0.0691255,0.00282511 | -2.51594,-0.164302
716|3.87535,0.0477988,0.0477988,0.0281868 | 10.9392,0.512042,0.512042,0.0353164 | -0.0691895,0.00282711 | -2.51495,-0.164224
717|3.87529,0.047798,0.047798,0.0281855 | 10.9411,0.512145,0.512145,0.035321 | -0.0692531,0.00282909 | -2.51396,-0.164145
718|3.87523,0.0477971,0.0477971,0.0281841 | 10.943,0.512247,0.512247,0.0353256 | -0.0693164,0.00283106 | -2.51297,-0.164067
719|3.87518,0.0477963,0.0477963,0.0281827 | 10.9449,0.512349,0.512349,0.0353302 | -0.0693793,0.00283302 | -2.51197,-0.163989
720|3.87512,0.0477955,0.0477955,0.0281813 | 10.9468,0.512452,0.512452,0.0353348 | -0.0694419,0.00283497 | -2.51097,-0.16391
721|3.87506,0.0477946,0.0477946,0.0281799 | 10.9488,0.512554,0.512554,0.0353393 | -0.0695042,0.00283691 | -2.50997,-0.163832
722|3.875,0.0477938,0.0477938,0.0281786 | 10.9507,0.512656,0.512656,0.0353439 | -0.0695661,0.00283883 | -2.50897,-0.163753
723|3.87495,0.0477929,0.0477929,0.0281772 | 10.9526,0.512758,0.512758,0.0353485 | -0.0696277,0.00284075 | -2.50796,-0.163674
724|3.87489,0.0477921,0.0477921,0.0281758 | 10.9545,0.512859,0.512859,0.035353 | -0.0696889,0.00284264 | -2.50695,-0.163595
725|3.87483,0.0477913,0.0477913,0.0281745 | 10.9564,0.512961,0.512961,0.0353576 | -0.0697498,0.00284454 | -2.50594,-0.163516
726|3.87478,0.0477904,0.0477904,0.0281731 | 10.9583,0.513063,0.513063,0.0353621 | -0.0698103,0.00284641 | -2.50493,-0.163437
727|3.87472,0.0477896,0.0477896,0.0281717 | 10.9602,0.513164,0.513164,0.0353666 | -0.0698705,0.00284828 | -2.50391,-0.163358
728|3.87466,0.0477887,0.0477887,0.0281704 | 10.9621,0.513265,0.513265,0.0353712 | -0.0699304,0.00285013 | -2.50289,-0.163278
729|3.87461,0.0477879,0.0477879,0.028169 | 10.964,0.513366,0.513366,0.0353757 | -0.0699899,0.00285198 | -2.50187,-0.163199
730|3.87455,0.047787,0.047787,0.0281677 | 10.9659,0.513467,0.513467,0.0353802 | -0.0700491,0.00285381 | -2.50085,-0.163119
