 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
0|3.97028,0.04762,0.04762,0.0294848 | 9.21301,0.41714,0.41714,0.0310305 | 0.0762743,-0.00154629 | -2.38139,-0.171733
1|3.97006,0.047622,0.047622,0.0294829 | 9.21546,0.41728,0.41728,0.0310368 | 0.0759668,-0.00153816 | -2.38273,-0.171796
2|3.96984,0.0476239,0.0476239,0.029481 | 9.2179,0.417419,0.417419,0.0310431 | 0.0756592,-0.00153002 | -2.38406,-0.171859
3|3.96962,0.0476258,0.0476258,0.029479 | 9.22035,0.417558,0.417558,0.0310495 | 0.0753518,-0.00152188 | -2.38539,-0.171922
4|3.9694,0.0476278,0.0476278,0.0294771 | 9.22281,0.417697,0.417697,0.0310558 | 0.0750444,-0.00151373 | -2.38671,-0.171984
5|3.96918,0.0476297,0.0476297,0.0294752 | 9.22526,0.417837,0.417837,0.0310622 | 0.074737,-0.00150558 | -2.38804,-0.172046
6|3.96896,0.0476316,0.0476316,0.0294733 | 9.22771,0.417976,0.417976,0.0310685 | 0.0744297,-0.00149743 | -2.38936,-0.172108
7|3.96874,0.0476335,0.0476335,0.0294713 | 9.23017,0.418115,0.418115,0.0310749 | 0.0741224,-0.00148927 | -2.39068,-0.17217
8|3.96853,0.0476354,0.0476354,0.0294694 | 9.23262,0.418255,0.418255,0.0310812 | 0.0738152,-0.0014811 | -2.39199,-0.172232
9|3.96831,0.0476373,0.0476373,0.0294675 | 9.23508,0.418395,0.418395,0.0310876 | 0.0735081,-0.00147293 | -2.39331,-0.172294
10|3.96809,0.0476392,0.0476392,0.0294656 | 9.23754,0.418534,0.418534,0.0310939 | 0.073201,-0.00146476 | -2.39462,-0.172355
11|3.96787,0.0476411,0.0476411,0.0294636 | 9.24,0.418674,0.418674,0.0311003 | 0.0728939,-0.00145658 | -2.39593,-0.172416
12|3.96766,0.047643,0.047643,0.0294617 | 9.24246,0.418813,0.418813,0.0311067 | 0.0725869,-0.0014484 | -2.39724,-0.172477
13|3.96744,0.0476448,0.0476448,0.0294598 | 9.24492,0.418953,0.418953,0.031113 | 0.07228,-0.00144022 | -2.39855,-0.172538
14|3.96722,0.0476467,0.0476467,0.0294578 | 9.24739,0.419093,0.419093,0.0311194 | 0.0719732,-0.00143203 | -2.39985,-0.172599
15|3.96701,0.0476486,0.0476486,0.0294559 | 9.24985,0.419233,0.419233,0.0311258 | 0.0716664,-0.00142383 | -2.40115,-0.17266
16|3.96679,0.0476504,0.0476504,0.029454 | 9.25231,0.419373,0.419373,0.0311321 | 0.0713597,-0.00141564 | -2.40245,-0.17272
17|3.96658,0.0476523,0.0476523,0.029452 | 9.25478,0.419513,0.419513,0.0311385 | 0.071053,-0.00140743 | -2.40375,-0.17278
18|3.96636,0.0476541,0.0476541,0.0294501 | 9.25725,0.419653,0.419653,0.0311449 | 0.0707464,-0.00139923 | -2.40505,-0.17284
19|3.96615,0.047656,0.047656,0.0294482 | 9.25972,0.419793,0.419793,0.0311512 | 0.0704399,-0.00139102 | -2.40634,-0.1729
20|3.96593,0.0476578,0.0476578,0.0294463 | 9.26219,0.419933,0.419933,0.0311576 | 0.0701334,-0.00138281 | -2.40763,-0.17296
21|3.96572,0.0476597,0.0476597,0.0294443 | 9.26466,0.420073,0.420073,0.031164 | 0.0698271,-0.00137459 | -2.40892,-0.173019
22|3.9655,0.0476615,0.0476615,0.0294424 | 9.26713,0.420213,0.420213,0.0311704 | 0.0695208,-0.00136637 | -2.4102,-0.173079
23|3.96529,0.0476633,0.0476633,0.0294404 | 9.2696,0.420353,0.420353,0.0311768 | 0.0692146,-0.00135815 | -2.41149,-0.173138
24|3.96507,0.0476651,0.0476651,0.0294385 | 9.27208,0.420494,0.420494,0.0311832 | 0.0689084,-0.00134992 | -2.41277,-0.173197
25|3.96486,0.047667,0.047667,0.0294366 | 9.27455,0.420634,0.420634,0.0311895 | 0.0686024,-0.00134169 | -2.41405,-0.173256
26|3.96464,0.0476688,0.0476688,0.0294346 | 9.27703,0.420774,0.420774,0.0311959 | 0.0682964,-0.00133346 | -2.41532,-0.173314
27|3.96443,0.0476706,0.0476706,0.0294327 | 9.27951,0.420915,0.420915,0.0312023 | 0.0679905,-0.00132522 | -2.4166,-0.173373
28|3.96422,0.0476724,0.0476724,0.0294308 | 9.28199,0.421055,0.421055,0.0312087 | 0.0676847,-0.00131698 | -2.41787,-0.173431
29|3.964,0.0476742,0.0476742,0.0294288 | 9.28447,0.421196,0.421196,0.0312151 | 0.0673789,-0.00130874 | -2.41914,-0.173489
30|3.96379,0.047676,0.047676,0.0294269 | 9.28695,0.421336,0.421336,0.0312215 | 0.0670733,-0.00130049 | -2.42041,-0.173547
31|3.96358,0.0476778,0.0476778,0.0294249 | 9.28943,0.421477,0.421477,0.0312279 | 0.0667678,-0.00129224 | -2.42167,-0.173605
32|3.96337,0.0476795,0.0476795,0.029423 | 9.29191,0.421618,0.421618,0.0312343 | 0.0664623,-0.00128399 | -2.42293,-0.173662
33|3.96316,0.0476813,0.0476813,0.0294211 | 9.29439,0.421758,0.421758,0.0312407 | 0.0661569,-0.00127573 | -2.42419,-0.17372
34|3.96294,0.0476831,0.0476831,0.0294191 | 9.29688,0.421899,0.421899,0.0312471 | 0.0658516,-0.00126747 | -2.42545,-0.173777
35|3.96273,0.0476848,0.0476848,0.0294172 | 9.29937,0.42204,0.42204,0.0312535 | 0.0655465,-0.00125921 | -2.4267,-0.173834
36|3.96252,0.0476866,0.0476866,0.0294152 | 9.30185,0.422181,0.422181,0.0312599 | 0.0652414,-0.00125094 | -2.42796,-0.173891
37|3.96231,0.0476884,0.0476884,0.0294133 | 9.30434,0.422321,0.422321,0.0312663 | 0.0649364,-0.00124267 | -2.42921,-0.173948
38|3.9621,0.0476901,0.0476901,0.0294113 | 9.30683,0.422462,0.422462,0.0312728 | 0.0646315,-0.0012344 | -2.43046,-0.174004
39|3.96189,0.0476919,0.0476919,0.0294094 | 9.30932,0.422603,0.422603,0.0312792 | 0.0643267,-0.00122613 | -2.4317,-0.174061
40|3.96168,0.0476936,0.0476936,0.0294074 | 9.31181,0.422744,0.422744,0.0312856 | 0.064022,-0.00121785 | -2.43294,-0.174117
41|3.96147,0.0476953,0.0476953,0.0294055 | 9.3143,0.422885,0.422885,0.031292 | 0.0637175,-0.00120957 | -2.43418,-0.174173
42|3.96126,0.0476971,0.0476971,0.0294036 | 9.3168,0.423026,0.423026,0.0312984 | 0.063413,-0.00120129 | -2.43542,-0.174228
43|3.96105,0.0476988,0.0476988,0.0294016 | 9.31929,0.423167,0.423167,0.0313048 | 0.0631086,-0.00119301 | -2.43666,-0.174284
44|3.96084,0.0477005,0.0477005,0.0293997 | 9.32179,0.423309,0.423309,0.0313113 | 0.0628044,-0.00118472 | -2.43789,-0.17434
45|3.96063,0.0477022,0.0477022,0.0293977 | 9.32428,0.42345,0.42345,0.0313177 | 0.0625002,-0.00117643 | -2.43912,-0.174395
46|3.96042,0.0477039,0.0477039,0.0293958 | 9.32678,0.423591,0.423591,0.0313241 | 0.0621962,-0.00116814 | -2.44035,-0.17445
47|3.96021,0.0477056,0.0477056,0.0293938 | 9.32928,0.423732,0.423732,0.0313305 | 0.0618923,-0.00115985 | -2.44158,-0.174505
48|3.96,0.0477073,0.0477073,0.0293919 | 9.33178,0.423874,0.423874,0.031337 | 0.0615885,-0.00115155 | -2.4428,-0.174559
49|3.95979,0.047709,0.047709,0.0293899 | 9.33428,0.424015,0.424015,0.0313434 | 0.0612848,-0.00114325 | -2.44402,-0.174614
50|3.95959,0.0477107,0.0477107,0.029388 | 9.33678,0.424156,0.424156,0.0313498 | 0.0609812,-0.00113495 | -2.44524,-0.174668
51|3.95938,0.0477124,0.0477124,0.029386 | 9.33928,0.424298,0.424298,0.0313563 | 0.0606778,-0.00112665 | -2.44645,-0.174722
52|3.95917,0.047714,0.047714,0.0293841 | 9.34178,0.424439,0.424439,0.0313627 | 0.0603744,-0.00111835 | -2.44767,-0.174776
53|3.95896,0.0477157,0.0477157,0.0293821 | 9.34428,0.424581,0.424581,0.0313691 | 0.0600712,-0.00111004 | -2.44888,-0.17483
54|3.95876,0.0477174,0.0477174,0.0293802 | 9.34679,0.424722,0.424722,0.0313756 | 0.0597681,-0.00110173 | -2.45009,-0.174884
55|3.95855,0.047719,0.047719,0.0293782 | 9.3493,0.424864,0.424864,0.031382 | 0.0594652,-0.00109342 | -2.45129,-0.174937
56|3.95834,0.0477207,0.0477207,0.0293762 | 9.3518,0.425005,0.425005,0.0313885 | 0.0591623,-0.00108511 | -2.4525,-0.17499
57|3.95814,0.0477223,0.0477223,0.0293743 | 9.35431,0.425147,0.425147,0.0313949 | 0.0588596,-0.00107679 | -2.4537,-0.175043
58|3.95793,0.047724,0.047724,0.0293723 | 9.35682,0.425289,0.425289,0.0314014 | 0.058557,-0.00106848 | -2.45489,-0.175096
59|3.95773,0.0477256,0.0477256,0.0293704 | 9.35933,0.42543,0.42543,0.0314078 | 0.0582546,-0.00106016 | -2.45609,-0.175149
60|3.95752,0.0477272,0.0477272,0.0293684 | 9.36184,0.425572,0.425572,0.0314142 | 0.0579523,-0.00105184 | -2.45728,-0.175201
61|3.95732,0.0477289,0.0477289,0.0293665 | 9.36435,0.425714,0.425714,0.0314207 | 0.0576501,-0.00104352 | -2.45847,-0.175254
62|3.95711,0.0477305,0.0477305,0.0293645 | 9.36686,0.425856,0.425856,0.0314271 | 0.057348,-0.0010352 | -2.45966,-0.175306
63|3.95691,0.0477321,0.0477321,0.0293626 | 9.36937,0.425998,0.425998,0.0314336 | 0.0570461,-0.00102688 | -2.46084,-0.175358
64|3.9567,0.0477337,0.0477337,0.0293606 | 9.37189,0.42614,0.42614,0.0314401 | 0.0567444,-0.00101855 | -2.46203,-0.17541
65|3.9565,0.0477353,0.0477353,0.0293586 | 9.3744,0.426282,0.426282,0.0314465 | 0.0564427,-0.00101022 | -2.46321,-0.175461
66|3.95629,0.0477369,0.0477369,0.0293567 | 9.37692,0.426424,0.426424,0.031453 | 0.0561412,-0.00100189 | -2.46438,-0.175512
67|3.95609,0.0477385,0.0477385,0.0293547 | 9.37944,0.426566,0.426566,0.0314594 | 0.0558399,-0.000993565 | -2.46556,-0.175564
68|3.95589,0.0477401,0.0477401,0.0293528 | 9.38195,0.426708,0.426708,0.0314659 | 0.0555387,-0.000985235 | -2.46673,-0.175615
69|3.95568,0.0477417,0.0477417,0.0293508 | 9.38447,0.42685,0.42685,0.0314723 | 0.0552376,-0.000976904 | -2.4679,-0.175665
70|3.95548,0.0477433,0.0477433,0.0293488 | 9.38699,0.426992,0.426992,0.0314788 | 0.0549367,-0.000968572 | -2.46907,-0.175716
71|3.95528,0.0477448,0.0477448,0.0293469 | 9.38951,0.427134,0.427134,0.0314853 | 0.0546359,-0.000960236 | -2.47023,-0.175766
72|3.95507,0.0477464,0.0477464,0.0293449 | 9.39203,0.427276,0.427276,0.0314917 | 0.0543353,-0.000951902 | -2.47139,-0.175817
73|3.95487,0.047748,0.047748,0.029343 | 9.39455,0.427418,0.427418,0.0314982 | 0.0540348,-0.000943565 | -2.47255,-0.175867
74|3.95467,0.0477495,0.0477495,0.029341 | 9.39708,0.427561,0.427561,0.0315047 | 0.0537345,-0.000935228 | -2.47371,-0.175917
75|3.95447,0.0477511,0.0477511,0.029339 | 9.3996,0.427703,0.427703,0.0315111 | 0.0534344,-0.00092689 | -2.47486,-0.175966
76|3.95427,0.0477526,0.0477526,0.0293371 | 9.40212,0.427845,0.427845,0.0315176 | 0.0531344,-0.000918553 | -2.47601,-0.176016
77|3.95406,0.0477542,0.0477542,0.0293351 | 9.40465,0.427987,0.427987,0.0315241 | 0.0528345,-0.000910214 | -2.47716,-0.176065
78|3.95386,0.0477557,0.0477557,0.0293331 | 9.40717,0.42813,0.42813,0.0315305 | 0.0525348,-0.000901873 | -2.4783,-0.176114
79|3.95366,0.0477572,0.0477572,0.0293312 | 9.4097,0.428272,0.428272,0.031537 | 0.0522353,-0.000893532 | -2.47945,-0.176163
80|3.95346,0.0477588,0.0477588,0.0293292 | 9.41223,0.428415,0.428415,0.0315435 | 0.0519359,-0.00088519 | -2.48059,-0.176212
81|3.95326,0.0477603,0.0477603,0.0293273 | 9.41476,0.428557,0.428557,0.03155 | 0.0516367,-0.000876849 | -2.48172,-0.17626
82|3.95306,0.0477618,0.0477618,0.0293253 | 9.41729,0.4287,0.4287,0.0315564 | 0.0513377,-0.000868505 | -2.48286,-0.176308
83|3.95286,0.0477633,0.0477633,0.0293233 | 9.41982,0.428842,0.428842,0.0315629 | 0.0510388,-0.000860164 | -2.48399,-0.176357
84|3.95266,0.0477648,0.0477648,0.0293214 | 9.42235,0.428985,0.428985,0.0315694 | 0.0507401,-0.000851821 | -2.48512,-0.176404
85|3.95246,0.0477663,0.0477663,0.0293194 | 9.42488,0.429127,0.429127,0.0315759 | 0.0504416,-0.000843477 | -2.48625,-0.176452
86|3.95226,0.0477678,0.0477678,0.0293174 | 9.42741,0.42927,0.42927,0.0315824 | 0.0501432,-0.000835134 | -2.48737,-0.1765
87|3.95206,0.0477693,0.0477693,0.0293155 | 9.42994,0.429412,0.429412,0.0315888 | 0.049845,-0.000826789 | -2.48849,-0.176547
88|3.95187,0.0477708,0.0477708,0.0293135 | 9.43248,0.429555,0.429555,0.0315953 | 0.049547,-0.000818445 | -2.48961,-0.176594
89|3.95167,0.0477723,0.0477723,0.0293115 | 9.43501,0.429698,0.429698,0.0316018 | 0.0492491,-0.000810102 | -2.49072,-0.176641
90|3.95147,0.0477737,0.0477737,0.0293096 | 9.43755,0.42984,0.42984,0.0316083 | 0.0489514,-0.000801757 | -2.49183,-0.176688
91|3.95127,0.0477752,0.0477752,0.0293076 | 9.44008,0.429983,0.429983,0.0316148 | 0.0486539,-0.000793413 | -2.49294,-0.176734
92|3.95107,0.0477767,0.0477767,0.0293056 | 9.44262,0.430126,0.430126,0.0316213 | 0.0483566,-0.000785069 | -2.49405,-0.176781
93|3.95088,0.0477781,0.0477781,0.0293036 | 9.44516,0.430269,0.430269,0.0316278 | 0.0480594,-0.000776724 | -2.49516,-0.176827
94|3.95068,0.0477796,0.0477796,0.0293017 | 9.4477,0.430411,0.430411,0.0316343 | 0.0477625,-0.000768381 | -2.49626,-0.176873
95|3.95048,0.047781,0.047781,0.0292997 | 9.45024,0.430554,0.430554,0.0316407 | 0.0474657,-0.000760037 | -2.49736,-0.176919
96|3.95029,0.0477824,0.0477824,0.0292977 | 9.45278,0.430697,0.430697,0.0316472 | 0.0471691,-0.000751694 | -2.49845,-0.176964
97|3.95009,0.0477839,0.0477839,0.0292958 | 9.45532,0.43084,0.43084,0.0316537 | 0.0468726,-0.000743352 | -2.49954,-0.17701
98|3.94989,0.0477853,0.0477853,0.0292938 | 9.45786,0.430983,0.430983,0.0316602 | 0.0465764,-0.000735009 | -2.50063,-0.177055
99|3.9497,0.0477867,0.0477867,0.0292918 | 9.4604,0.431126,0.431126,0.0316667 | 0.0462804,-0.000726665 | -2.50172,-0.1771
100|3.9495,0.0477881,0.0477881,0.0292899 | 9.46294,0.431269,0.431269,0.0316732 | 0.0459845,-0.000718323 | -2.50281,-0.177145
101|3.94931,0.0477896,0.0477896,0.0292879 | 9.46549,0.431412,0.431412,0.0316797 | 0.0456888,-0.000709981 | -2.50389,-0.177189
102|3.94911,0.047791,0.047791,0.0292859 | 9.46803,0.431555,0.431555,0.0316862 | 0.0453933,-0.000701638 | -2.50497,-0.177234
103|3.94892,0.0477924,0.0477924,0.0292839 | 9.47057,0.431698,0.431698,0.0316927 | 0.0450981,-0.000693298 | -2.50604,-0.177278
104|3.94872,0.0477938,0.0477938,0.029282 | 9.47312,0.431841,0.431841,0.0316992 | 0.044803,-0.000684959 | -2.50711,-0.177322
105|3.94853,0.0477951,0.0477951,0.02928 | 9.47567,0.431984,0.431984,0.0317057 | 0.0445081,-0.000676619 | -2.50818,-0.177366
106|3.94833,0.0477965,0.0477965,0.029278 | 9.47821,0.432127,0.432127,0.0317122 | 0.0442134,-0.000668282 | -2.50925,-0.177409
107|3.94814,0.0477979,0.0477979,0.029276 | 9.48076,0.43227,0.43227,0.0317187 | 0.0439189,-0.000659944 | -2.51032,-0.177452
108|3.94795,0.0477993,0.0477993,0.0292741 | 9.48331,0.432413,0.432413,0.0317252 | 0.0436246,-0.000651607 | -2.51138,-0.177496
109|3.94775,0.0478006,0.0478006,0.0292721 | 9.48586,0.432557,0.432557,0.0317317 | 0.0433305,-0.000643272 | -2.51243,-0.177539
110|3.94756,0.047802,0.047802,0.0292701 | 9.48841,0.4327,0.4327,0.0317382 | 0.0430366,-0.000634937 | -2.51349,-0.177581
111|3.94737,0.0478034,0.0478034,0.0292682 | 9.49096,0.432843,0.432843,0.0317447 | 0.0427429,-0.000626603 | -2.51454,-0.177624
112|3.94718,0.0478047,0.0478047,0.0292662 | 9.49351,0.432986,0.432986,0.0317512 | 0.0424494,-0.000618269 | -2.51559,-0.177666
113|3.94698,0.0478061,0.0478061,0.0292642 | 9.49606,0.433129,0.433129,0.0317577 | 0.0421561,-0.000609939 | -2.51664,-0.177709
114|3.94679,0.0478074,0.0478074,0.0292622 | 9.49861,0.433273,0.433273,0.0317642 | 0.041863,-0.000601609 | -2.51768,-0.177751
115|3.9466,0.0478087,0.0478087,0.0292603 | 9.50116,0.433416,0.433416,0.0317708 | 0.0415701,-0.00059328 | -2.51872,-0.177792
116|3.94641,0.0478101,0.0478101,0.0292583 | 9.50372,0.433559,0.433559,0.0317773 | 0.0412775,-0.000584952 | -2.51976,-0.177834
117|3.94622,0.0478114,0.0478114,0.0292563 | 9.50627,0.433703,0.433703,0.0317838 | 0.040985,-0.000576626 | -2.5208,-0.177875
118|3.94603,0.0478127,0.0478127,0.0292543 | 9.50882,0.433846,0.433846,0.0317903 | 0.0406928,-0.0005683 | -2.52183,-0.177916
119|3.94583,0.047814,0.047814,0.0292524 | 9.51138,0.433989,0.433989,0.0317968 | 0.0404008,-0.000559976 | -2.52286,-0.177957
120|3.94564,0.0478153,0.0478153,0.0292504 | 9.51393,0.434133,0.434133,0.0318033 | 0.040109,-0.000551652 | -2.52389,-0.177998
121|3.94545,0.0478166,0.0478166,0.0292484 | 9.51649,0.434276,0.434276,0.0318098 | 0.0398174,-0.000543332 | -2.52491,-0.178039
122|3.94526,0.0478179,0.0478179,0.0292464 | 9.51905,0.43442,0.43442,0.0318163 | 0.039526,-0.000535014 | -2.52593,-0.178079
123|3.94507,0.0478192,0.0478192,0.0292444 | 9.5216,0.434563,0.434563,0.0318228 | 0.0392348,-0.000526697 | -2.52695,-0.178119
124|3.94489,0.0478205,0.0478205,0.0292425 | 9.52416,0.434706,0.434706,0.0318294 | 0.0389439,-0.00051838 | -2.52796,-0.178159
125|3.9447,0.0478218,0.0478218,0.0292405 | 9.52672,0.43485,0.43485,0.0318359 | 0.0386532,-0.000510065 | -2.52897,-0.178199
126|3.94451,0.0478231,0.0478231,0.0292385 | 9.52928,0.434993,0.434993,0.0318424 | 0.0383627,-0.000501753 | -2.52998,-0.178239
127|3.94432,0.0478243,0.0478243,0.0292365 | 9.53184,0.435137,0.435137,0.0318489 | 0.0380725,-0.000493444 | -2.53099,-0.178278
128|3.94413,0.0478256,0.0478256,0.0292346 | 9.5344,0.43528,0.43528,0.0318554 | 0.0377824,-0.000485136 | -2.53199,-0.178317
129|3.94394,0.0478269,0.0478269,0.0292326 | 9.53696,0.435424,0.435424,0.0318619 | 0.0374926,-0.000476831 | -2.53299,-0.178356
130|3.94375,0.0478281,0.0478281,0.0292306 | 9.53952,0.435568,0.435568,0.0318684 | 0.037203,-0.000468526 | -2.53398,-0.178395
131|3.94357,0.0478294,0.0478294,0.0292286 | 9.54208,0.435711,0.435711,0.031875 | 0.0369137,-0.000460224 | -2.53498,-0.178433
132|3.94338,0.0478306,0.0478306,0.0292266 | 9.54465,0.435855,0.435855,0.0318815 | 0.0366245,-0.000451923 | -2.53597,-0.178471
133|3.94319,0.0478318,0.0478318,0.0292247 | 9.54721,0.435998,0.435998,0.031888 | 0.0363356,-0.000443624 | -2.53695,-0.17851
134|3.94301,0.0478331,0.0478331,0.0292227 | 9.54977,0.436142,0.436142,0.0318945 | 0.036047,-0.000435328 | -2.53794,-0.178547
135|3.94282,0.0478343,0.0478343,0.0292207 | 9.55234,0.436285,0.436285,0.031901 | 0.0357585,-0.000427034 | -2.53892,-0.178585
136|3.94263,0.0478355,0.0478355,0.0292187 | 9.5549,0.436429,0.436429,0.0319076 | 0.0354704,-0.000418743 | -2.5399,-0.178623
137|3.94245,0.0478367,0.0478367,0.0292168 | 9.55746,0.436573,0.436573,0.0319141 | 0.0351824,-0.000410455 | -2.54087,-0.17866
138|3.94226,0.0478379,0.0478379,0.0292148 | 9.56003,0.436716,0.436716,0.0319206 | 0.0348947,-0.000402169 | -2.54184,-0.178697
139|3.94207,0.0478391,0.0478391,0.0292128 | 9.5626,0.43686,0.43686,0.0319271 | 0.0346072,-0.000393885 | -2.54281,-0.178734
140|3.94189,0.0478403,0.0478403,0.0292108 | 9.56516,0.437004,0.437004,0.0319336 | 0.03432,-0.000385604 | -2.54378,-0.17877
141|3.9417,0.0478415,0.0478415,0.0292088 | 9.56773,0.437147,0.437147,0.0319402 | 0.034033,-0.000377325 | -2.54474,-0.178807
142|3.94152,0.0478427,0.0478427,0.0292069 | 9.5703,0.437291,0.437291,0.0319467 | 0.0337462,-0.000369048 | -2.5457,-0.178843
143|3.94134,0.0478439,0.0478439,0.0292049 | 9.57286,0.437435,0.437435,0.0319532 | 0.0334597,-0.000360774 | -2.54666,-0.178879
144|3.94115,0.0478451,0.0478451,0.0292029 | 9.57543,0.437579,0.437579,0.0319597 | 0.0331734,-0.000352504 | -2.54761,-0.178915
145|3.94097,0.0478462,0.0478462,0.0292009 | 9.578,0.437722,0.437722,0.0319663 | 0.0328874,-0.000344235 | -2.54856,-0.17895
146|3.94078,0.0478474,0.0478474,0.0291989 | 9.58057,0.437866,0.437866,0.0319728 | 0.0326017,-0.00033597 | -2.54951,-0.178986
147|3.9406,0.0478486,0.0478486,0.029197 | 9.58314,0.43801,0.43801,0.0319793 | 0.0323161,-0.000327707 | -2.55045,-0.179021
148|3.94042,0.0478497,0.0478497,0.029195 | 9.58571,0.438154,0.438154,0.0319858 | 0.0320309,-0.000319447 | -2.55139,-0.179056
149|3.94023,0.0478509,0.0478509,0.029193 | 9.58828,0.438297,0.438297,0.0319924 | 0.0317458,-0.00031119 | -2.55233,-0.179091
150|3.94005,0.047852,0.047852,0.029191 | 9.59085,0.438441,0.438441,0.0319989 | 0.0314611,-0.000302936 | -2.55326,-0.179125
151|3.93987,0.0478531,0.0478531,0.029189 | 9.59342,0.438585,0.438585,0.0320054 | 0.0311766,-0.000294686 | -2.5542,-0.17916
152|3.93969,0.0478543,0.0478543,0.0291871 | 9.59599,0.438729,0.438729,0.0320119 | 0.0308923,-0.000286438 | -2.55512,-0.179194
153|3.9395,0.0478554,0.0478554,0.0291851 | 9.59856,0.438872,0.438872,0.0320185 | 0.0306083,-0.000278195 | -2.55605,-0.179228
154|3.93932,0.0478565,0.0478565,0.0291831 | 9.60114,0.439016,0.439016,0.032025 | 0.0303246,-0.000269956 | -2.55697,-0.179261
155|3.93914,0.0478576,0.0478576,0.0291811 | 9.60371,0.43916,0.43916,0.0320315 | 0.0300411,-0.000261718 | -2.55789,-0.179295
156|3.93896,0.0478588,0.0478588,0.0291791 | 9.60628,0.439304,0.439304,0.032038 | 0.0297579,-0.000253483 | -2.55881,-0.179328
157|3.93878,0.0478599,0.0478599,0.0291772 | 9.60886,0.439448,0.439448,0.0320446 | 0.0294749,-0.000245252 | -2.55972,-0.179361
158|3.9386,0.047861,0.047861,0.0291752 | 9.61143,0.439592,0.439592,0.0320511 | 0.0291922,-0.000237023 | -2.56063,-0.179394
159|3.93842,0.047862,0.047862,0.0291732 | 9.614,0.439735,0.439735,0.0320576 | 0.0289098,-0.0002288 | -2.56153,-0.179427
160|3.93824,0.0478631,0.0478631,0.0291712 | 9.61658,0.439879,0.439879,0.0320641 | 0.0286276,-0.00022058 | -2.56244,-0.179459
161|3.93806,0.0478642,0.0478642,0.0291692 | 9.61915,0.440023,0.440023,0.0320707 | 0.0283457,-0.000212364 | -2.56334,-0.179491
162|3.93788,0.0478653,0.0478653,0.0291672 | 9.62173,0.440167,0.440167,0.0320772 | 0.028064,-0.000204149 | -2.56423,-0.179523
163|3.9377,0.0478664,0.0478664,0.0291653 | 9.6243,0.440311,0.440311,0.0320837 | 0.0277827,-0.000195939 | -2.56513,-0.179555
164|3.93752,0.0478674,0.0478674,0.0291633 | 9.62688,0.440455,0.440455,0.0320902 | 0.0275016,-0.000187733 | -2.56602,-0.179587
165|3.93734,0.0478685,0.0478685,0.0291613 | 9.62946,0.440599,0.440599,0.0320968 | 0.0272207,-0.000179531 | -2.5669,-0.179618
166|3.93716,0.0478696,0.0478696,0.0291593 | 9.63203,0.440742,0.440742,0.0321033 | 0.0269402,-0.000171333 | -2.56779,-0.179649
167|3.93698,0.0478706,0.0478706,0.0291573 | 9.63461,0.440886,0.440886,0.0321098 | 0.0266599,-0.000163138 | -2.56867,-0.17968
168|3.93681,0.0478716,0.0478716,0.0291554 | 9.63719,0.44103,0.44103,0.0321163 | 0.0263799,-0.000154948 | -2.56954,-0.179711
169|3.93663,0.0478727,0.0478727,0.0291534 | 9.63977,0.441174,0.441174,0.0321229 | 0.0261001,-0.000146764 | -2.57042,-0.179742
170|3.93645,0.0478737,0.0478737,0.0291514 | 9.64234,0.441318,0.441318,0.0321294 | 0.0258206,-0.00013858 | -2.57129,-0.179772
171|3.93627,0.0478747,0.0478747,0.0291494 | 9.64492,0.441462,0.441462,0.0321359 | 0.0255415,-0.000130403 | -2.57216,-0.179802
172|3.9361,0.0478758,0.0478758,0.0291474 | 9.6475,0.441606,0.441606,0.0321424 | 0.0252625,-0.00012223 | -2.57302,-0.179832
173|3.93592,0.0478768,0.0478768,0.0291455 | 9.65008,0.44175,0.44175,0.032149 | 0.0249839,-0.000114059 | -2.57388,-0.179861
174|3.93574,0.0478778,0.0478778,0.0291435 | 9.65266,0.441894,0.441894,0.0321555 | 0.0247056,-0.000105893 | -2.57474,-0.179891
175|3.93557,0.0478788,0.0478788,0.0291415 | 9.65524,0.442037,0.442037,0.032162 | 0.0244275,-9.77301e-05 | -2.57559,-0.17992
176|3.93539,0.0478798,0.0478798,0.0291395 | 9.65782,0.442181,0.442181,0.0321685 | 0.0241497,-8.9573e-05 | -2.57645,-0.179949
177|3.93522,0.0478808,0.0478808,0.0291375 | 9.6604,0.442325,0.442325,0.0321751 | 0.0238722,-8.14202e-05 | -2.57729,-0.179978
178|3.93504,0.0478818,0.0478818,0.0291356 | 9.66298,0.442469,0.442469,0.0321816 | 0.023595,-7.32722e-05 | -2.57814,-0.180006
179|3.93487,0.0478828,0.0478828,0.0291336 | 9.66556,0.442613,0.442613,0.0321881 | 0.023318,-6.51297e-05 | -2.57898,-0.180035
180|3.93469,0.0478838,0.0478838,0.0291316 | 9.66814,0.442757,0.442757,0.0321946 | 0.0230414,-5.69908e-05 | -2.57982,-0.180063
181|3.93452,0.0478847,0.0478847,0.0291296 | 9.67072,0.442901,0.442901,0.0322012 | 0.022765,-4.88557e-05 | -2.58065,-0.180091
182|3.93434,0.0478857,0.0478857,0.0291276 | 9.6733,0.443045,0.443045,0.0322077 | 0.022489,-4.07248e-05 | -2.58148,-0.180119
183|3.93417,0.0478867,0.0478867,0.0291257 | 9.67588,0.443189,0.443189,0.0322142 | 0.0222132,-3.25986e-05 | -2.58231,-0.180146
